ecogears_id,station_name,address,latitude,longitude,availability,charger_level,connector_type,connector_types,network,power_kw,price_per_kwh,description,created,updated
a5wazaxx8yt74lh,Ather Grid Charging Station Udhana,"Mihir Silk Mills Compound, 21/1 & 2, Bamroli Rd, beside Manhar Dyeing, near Komal Circle, Laxmi Nagar, Udhana, Surat, Gujarat 395002",21.168367,72.83031,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located beside Manhar Dyeing in Laxmi Nagar. || Open Hours: 24/7 Available || Phone: 7676600900,2026-06-23 12:53:23.351Z,2026-06-23 12:53:23.351Z
a6yo8rtsewmmhni,Ather Grid Charging Station GIDC,"p767, Ashwini Kumar Rd, New GIDC, KR Journey, Patel Nagar, Surat, Gujarat 395008",21.228105,72.842573,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Found inside New GIDC along Ashwini Kumar Road. || Open Hours: 08:00AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:23.571Z,2026-06-23 12:53:23.571Z
5tubjpj0zvhhbss,Ather Grid Charging Station Adajan,"1,2. Abhinandan Heights, Nr madhuvan circle, LP Savani, Coffee King, Rd, Honey Park, Adajan Gam, Adajan, Surat, Gujarat 395009",21.20145,72.793138,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near Madhuvan Circle at Abhinandan Heights. || Open Hours: 07:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:23.755Z,2026-06-23 12:53:23.755Z
yxgikwmqkhlexew,Ather Grid Charging Station Limbayat,"Ankit Gas Center, Sarve no 9, Block no 66, Plot no 5/6, near Mamta Cinema, Mahaprabhu nagar, Chorasi, Limbayat, Surat, Gujarat 395012",21.178312,72.86132,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near Mamta Cinema at Limbayat. || Open Hours: 08:00 AM- 12:00 AM || Phone: 7676600900,2026-06-23 12:53:23.935Z,2026-06-23 12:53:23.935Z
3xe114b4x4611ve,Ather Grid Charging Station Adajan,"Harish Nagar, Housing Society, Plot No.14&15, Gujarat Gas Cir, Anand Vatika Society, Param Housing Society, Adajan, Surat, Gujarat 395009",21.192781,72.80424,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Situated near the prominent Gujarat Gas Circle in Adajan. || Open Hours: 08:00AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:24.295Z,2026-06-23 12:53:24.295Z
t5ybni459eovkaf,Ather Grid Charging Station Adajan,"Plot no -1, Maitri society, Opp Pani ni tanki, Sardar Bridge, Road, Gujarat Gas Cir, Adajan, Surat, Gujarat 395009",21.19361,72.800903,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located opposite Krishna Complex near Sardar Bridge Road. || Open Hours: 07:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:24.465Z,2026-06-23 12:53:24.465Z
af9jnjm56olupku,Ather Grid Charging Station Ring,"8, Ring Rd, near DCB Bank, Suman Desai NI Wadi, Udhana Darwaja, Surat, Gujarat 395002",21.182992,72.830235,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Positioned near DCB Bank along Ring Road. || Open Hours: 08:00AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:24.807Z,2026-06-23 12:53:24.807Z
cjxl59o18878fg7,BMW Destination Charging Station Magdalla,"TP No. 3, Rundh Paikee, Besides Rangoli Restaurant, Surat - Dumas Rd, New Magdalla, Rundh, Gujarat 395007",21.151684,72.76256,Available,DC Fast,Type 2,Type 2,BMW,50,18,Located besides Rangoli Restaurant in New Magdalla. || Open Hours: 24/7 Available || Phone: 9081950888,2026-06-23 12:53:24.992Z,2026-06-23 12:53:24.992Z
aj7twyq931meezt,BMW Destination Charging Station Varachha,"Railway Station Rd, Sufi Baug, Railway Station Area, Varachha, Surat, Gujarat 395003",21.204417,72.839267,Available,Level 2,Type 2,Type 2,BMW,11,15,Located near the Railway Station Area in Varachha. || Open Hours: 08:00AM - 11:00 PM || Phone: 8070743743,2026-06-23 12:53:25.158Z,2026-06-23 12:53:25.158Z
26p1i2oobga5dw0,BPCL Charging Station Udhana,"4V95+9P6, Unn Patiya, Udhana, Surat, Un, Gujarat 395023",21.11841,72.859268,Available,DC Fast,Type 2,Type 2,BPCL,50,18,Located near Unn Patiya in Udhana. || Open Hours: 24/7 Available || Phone: 1800224344,2026-06-23 12:53:25.497Z,2026-06-23 12:53:25.497Z
rlj0nuc31gwmnhk,BPCL Charging Station Bhatha,"5QJ7+MCP, Bhatha, Surat, Gujarat 395009",21.181703,72.763583,Available,DC Fast,Type 2,Type 2,BPCL,50,18,Found neatly situated in the Bhatha region. || Open Hours: 24/7 Available || Phone: 1800224344,2026-06-23 12:53:25.672Z,2026-06-23 12:53:25.672Z
ld3xeibk708kpm9,Bolt.Earth EV Charging Station Kumbharia,"380005, Kumbharia Gam, Surat, Gujarat 395006",21.18847,72.896358,Available,Level 2,Type 2,Type 2,Bolt.Earth,11,15,Standard charging point located at Kumbharia Gam. || Open Hours: 08:00 AM- 12:00 AM || Phone: 8447746385,2026-06-23 12:53:25.852Z,2026-06-23 12:53:25.852Z
flfuayqhvtjgbe9,ChargeZone Charging Station Magob,"Bus Depot, Parvat Gam-Devadh Rd, nearby Magob, Shakti Nagar, Surat, Gujarat 395010",21.17973,72.877935,Available,Level 2,Type 2,Type 2,ChargeZone,11,15,Located near the Bus Depot nearby Magob. || Open Hours: 24/7 Available || Phone: 18001212025,2026-06-23 12:53:26.015Z,2026-06-23 12:53:26.015Z
1ypj79dda3r2xf4,ChargeZone Charging Station Dabholi,"Monarch Hyundai, Causeway Link Rd, Dabholi Village, Surat, Gujarat 395004",21.230574,72.806196,Available,Level 2,Type 2,Type 2,ChargeZone,11,15,Placed inside the Monarch Hyundai compound in Dabholi. || Open Hours: 07:00 AM - 11:00 PM || Phone: 18001212025,2026-06-23 12:53:26.175Z,2026-06-23 12:53:26.175Z
djm41u2xspqyy2v,Denchi Electric Vesu,"Aagam Shopping World, A 13, Vesu Canal Rd, opposite Nandini 1 Apartments, Near Agarwal School, Vesu, Surat, Gujarat 395007",21.135491,72.774161,Available,Level 2,Type 2,Type 2,Denchi Electric,11,15,Positioned opposite Nandini 1 Apartments in Vesu. || Open Hours: 08:00AM - 11:00 PM || Phone: 9876543211,2026-06-23 12:53:26.515Z,2026-06-23 12:53:26.515Z
1rglsppu5rms2vs,EVolute Charging Station Pal,"5QRH+9GM, Pal Gam Rd, Pal Gam, Surat, Gujarat 394510",21.190973,72.778781,Available,Level 2,Type 2,Type 2,EVolute,11,15,Located conveniently along Pal Gam Road. || Open Hours: 24/7 Available || Phone: 9876543212,2026-06-23 12:53:26.674Z,2026-06-23 12:53:26.674Z
h333nzu3u47q7bm,Electric Vehicle Charging Station Udhana,"5R7P+X7H, Udhyog Darshan Society, Udhana Village, Udhana, Surat, Gujarat 394210",21.164931,72.835734,Available,Level 2,Type 2,Type 2,Independent,11,15,Located at Udhyog Darshan Society in Udhana Village. || Open Hours: 07:00 AM - 11:00 PM || Phone: 9876543213,2026-06-23 12:53:26.835Z,2026-06-23 12:53:26.835Z
hbjbcjdusdo43a8,Electric Vehicle Charging Station Parvat,"SHOP NO.13 GROUND FLOOR, Shilalekh Residency, BRTS, Vesu Canal Rd, opp. Amaazia Water Park, Parvat Patiya, Surat, Gujarat 395011",21.191625,72.865408,Available,Level 2,Type 2,Type 2,Independent,11,15,Positioned opposite Amaazia Water Park at Parvat Patiya. || Open Hours: 08:00 AM- 12:00 AM || Phone: 9427777119,2026-06-23 12:53:26.995Z,2026-06-23 12:53:26.995Z
urkf9moksuqi1zu,Electric Vehicle Charging Station Moti,"5RRR+FRJ Torrent Power, Ring Rd, J.J.A.C. Market, Moti Begumwadi, New Textile Market, Surat, Gujarat 395002",21.191212,72.842013,Available,DC Fast,Type 2,Type 2,Torrent Power,50,18,Located at Torrent Power near J.J.A.C. Market. || Open Hours: 24/7 Available || Phone: 9876543214,2026-06-23 12:53:27.166Z,2026-06-23 12:53:27.166Z
bjf4cagdb3f24g2,Electric Vehicle Charging Station Ring,"201, Torrent Power Ring Rd, New Textile Market, Surat, Gujarat 395002",21.186407,72.838838,Available,DC Fast,Type 2,Type 2,Torrent Power,50,18,Located inside the bustling New Textile Market area. || Open Hours: 24/7 Available || Phone: 9998835578,2026-06-23 12:53:27.336Z,2026-06-23 12:53:27.336Z
4c96r4ap5srgu0v,Electric Vehicle Charging Station Bhedwad,"5R2R+PRM, Harichha Ind., Shed, opp. Nova Complex, Bhedwad, Pandesara, Udhana, Surat, Gujarat 394210",21.151834,72.842038,Available,DC Fast,Type 2,Type 2,Independent,50,18,"Located opposite Nova Complex in Bhedwad, Pandesara. || Open Hours: 08:00AM - 11:00 PM || Phone: 9876543215",2026-06-23 12:53:27.535Z,2026-06-23 12:53:27.535Z
wa28wuhres7in10,Evolute Charging Station Adajan,"5QWV+55W, Bungalow Society, Karan Park, Adajan, Surat, Gujarat 395009",21.195487,72.792952,Available,Level 2,Type 2,Type 2,Evolute,11,15,Found inside the peaceful Karan Park cluster in Adajan. || Open Hours: 07:00 AM - 11:00 PM || Phone: 9876543216,2026-06-23 12:53:27.705Z,2026-06-23 12:53:27.705Z
2fauh5mm9la8ygu,Fortum Charge & Drive Charging Station Bhatpore,"MG Surat Bhatpore MG Surat Plot # 220-328 Bhatpore GIDC, MG Workshop, Hazira Rd, Bhatpore, Surat, Gujarat 394510",21.168074,72.735854,Available,DC Fast,Type 2,Type 2,Fortum,50,18,Located behind Nanavati Autosquare in Bhatpore GIDC. || Open Hours: 24/7 Available || Phone: 18001203578,2026-06-23 12:53:27.878Z,2026-06-23 12:53:27.878Z
698txx2wo1fknxy,Hindustan Petroleum Corporation Limited Udhana,"FP No 66/A, Vadod, Majura, Udhana, Surat, Gujarat 394210",21.131978,72.827605,Available,Level 2,Type 2,Type 2,HPCL,11,15,Found near the Vadod area in Udhana. || Open Hours: 08:00AM - 11:00 PM || Phone: 9227591002,2026-06-23 12:53:28.052Z,2026-06-23 12:53:28.052Z
ryfwnfwvpxt1gen,Hindustan Petroleum Corporation Limited Althan,"4 Plot, TP No, City Light Rd, opposite Maheshwari Bhavan, New Tirumala, New City Light, Althan, Surat, Gujarat 395007",21.152007,72.801226,Available,Level 2,Type 2,Type 2,HPCL,11,15,Placed opposite Maheshwari Bhavan on City Light Road. || Open Hours: 07:00 AM - 11:00 PM || Phone: 8758891969,2026-06-23 12:53:28.214Z,2026-06-23 12:53:28.214Z
9ubhh57or74qnxp,IndianOil Magob,"Block No 57/58/13, Tp No 34, Near Archana School, Magob, Yamuna Nagar, Surat, Gujarat 395010",21.200051,72.859747,Available,Level 2,Type 2,Type 2,IndianOil,11,15,Located near Archana School in Magob. || Open Hours: 24/7 Available || Phone: 9913218051,2026-06-23 12:53:28.372Z,2026-06-23 12:53:28.372Z
bfysc4a0n78ebkw,IndianOil Sonari,"Ground Floor Sonari, Bonandh, Jiav, Surat, Sonari, Gujarat 395023",21.110613,72.838146,Available,Level 2,Type 2,Type 2,IndianOil,11,15,"Situated on the Ground Floor in Sonari, Jiav. || Open Hours: 08:00 AM- 12:00 AM || Phone: 9825149494",2026-06-23 12:53:28.562Z,2026-06-23 12:53:28.562Z
wnvvofpd1my8xk4,IndianOil Ichchhapor,"RS No 672/2 686 & 687, Hazira Rd, opp. HAEP Township, nr. Kawas, Patia, Ichchhapor, Surat, Hazira, Gujarat 394510",21.187741,72.712073,Available,Level 2,Type 2,Type 2,IndianOil,11,15,Located opposite the HAEP Township on Hazira Road. || Open Hours: 24/7 Available || Phone: 9825033382,2026-06-23 12:53:28.744Z,2026-06-23 12:53:28.744Z
z1wwfuok9nomc11,IndianOil Pura,"Block No 58/3/2, No FP 41, near Vivekananda Colleage, Jahangir Pura, Surat, Gujarat 394520",21.251344,72.787472,Available,Level 2,Type 2,Type 2,IndianOil,11,15,Located near Vivekananda College in Jahangir Pura. || Open Hours: 24/7 Available || Phone: 9825451120,2026-06-23 12:53:29.444Z,2026-06-23 12:53:29.444Z
znrrxeuesncv204,Jio-bp Bhatha,"Old Sy No 10/2, Block No 14, Plot No 14, Hazira Rd, Choryasi, Bhatha, Surat, Hazira, Gujarat 394510",21.181976,72.76468,Available,Level 2,Type 2,Type 2,Jio-bp,11,15,Located near Choryasi along Hazira Road in Bhatha. || Open Hours: 24/7 Available || Phone: 9737235115,2026-06-23 12:53:29.636Z,2026-06-23 12:53:29.636Z
f5jcdeur0wzjyuw,Jio-bp pulse Charging Station Vesu,"Reliance Mall Udhana Magdalla Rd, Char Rasta, near RM JHASV School, Vesu, Surat, Gujarat 395007",21.149934,72.773686,Available,Level 2,Type 2,Type 2,Jio-bp,11,15,Placed at the Reliance Mall Char Rasta in Vesu. || Open Hours: 24/7 Available || Phone: 18008909023,2026-06-23 12:53:29.965Z,2026-06-23 12:53:29.965Z
f3a97gtaqt5cuem,Jio-bp pulse Charging Station Antroli,"Antroli, Gujarat 394325",21.18,72.93,Available,Level 2,Type 2,Type 2,Jio-bp,11,15,General highway layout located inside Antroli. || Open Hours: 08:00AM - 11:00 PM || Phone: 18008909023,2026-06-23 12:53:30.133Z,2026-06-23 12:53:30.133Z
14whhs4erzxsmxj,Jio-bp pulse Charging Station Vesu,"Reliance Mall, Bhattar Char Rasta, near Udhana - Magdalla Road, near RM JHASV School, Laxmi Nagar, Vesu, Surat, Gujarat 395002",21.171489,72.829497,Available,DC Fast,Type 2,Type 2,Jio-bp,50,18,High speed bay at Reliance Mall Bhattar Char Rasta. || Open Hours: 24/7 Available || Phone: 18008909023,2026-06-23 12:53:30.295Z,2026-06-23 12:53:30.295Z
vwyvdhqd991rogu,Log9 Charging Station Surat,"Unit 3, Dumas Rd, near Green Field Naturals, Surat, Gujarat 395007",21.133167,72.747083,Available,Level 2,Type 2,Type 2,Log9,11,15,Located near Green Field Naturals along Dumas Road. || Open Hours: 08:00 AM- 12:00 AM || Phone: 9876543217,2026-06-23 12:53:30.831Z,2026-06-23 12:53:30.831Z
zycc15u28idz0z3,Mercedes-Benz Charging Station Bharthana,"Reegus Business Centre, New Tirumala, Bharthana, Surat, Gujarat 395007",21.148496,72.797973,Available,DC Fast,Type 2,Type 2,Mercedes-Benz,50,18,Located at the Reegus Business Centre in Bharthana. || Open Hours: 24/7 Available || Phone: 9876543218,2026-06-23 12:53:31.146Z,2026-06-23 12:53:31.146Z
yhb7f2bb9xhkj65,MobiLane Charging Station Bhatpore,"Plot No 10 & 11, Magdalla Hazira Rd, opposite ONGC, GIDC, Ichhapore GIDC, Bhatpore, Surat, Gujarat 394510",21.164052,72.737656,Available,Level 2,Type 2,Type 2,MobiLane,11,15,Placed opposite ONGC inside Ichhapore GIDC. || Open Hours: 08:00AM - 11:00 PM || Phone: 9876543219,2026-06-23 12:53:31.341Z,2026-06-23 12:53:31.341Z
fcwmm6uzx0ngmg1,MobiLane Charging Station Udhana,"5RCR+RHV, Udhana GIDC, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210",21.172225,72.841567,Available,Level 2,Type 2,Type 2,MobiLane,11,15,Located inside Hari Ichchha Industrial Society in Udhana. || Open Hours: 07:00 AM - 11:00 PM || Phone: 9876543220,2026-06-23 12:53:31.560Z,2026-06-23 12:53:31.560Z
99rxbhdcsd55ryo,New Tech Toys & Gift Articles Vesu,"Ground Floor, Shop no. 3, Aakash Retail, NM Mavani Rd, opposite Vastugram, Vesu, Surat, Gujarat 395007",21.141162,72.765064,Available,Level 2,Type 2,Type 2,Independent,11,15,Located at Aakash Retail opposite Vastugram in Vesu. || Open Hours: 08:00 AM- 12:00 AM || Phone: 7201081024,2026-06-23 12:53:31.730Z,2026-06-23 12:53:31.730Z
h3wutl5usecu2ml,Ola Charging Station Udhana,"shop 1, Udhana Main Rd, Harinagar-3, Citi Industrial Estate, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210",21.159962,72.842969,Available,Level 2,Type 2,Type 2,Ola,11,15,Set up inside Citi Industrial Estate along Udhana Main Road. || Open Hours: 24/7 Available || Phone: 9876543221,2026-06-23 12:53:31.896Z,2026-06-23 12:53:31.896Z
3cxc4yvnnmjc05q,SMC Charging Station Garib,"5VM6+H4, Kailash Nagar Society, Garib Nawaz Nagar, Surat, Gujarat 395010",21.183765,72.860556,Available,DC Fast,Type 2,Type 2,SMC,50,18,Placed alongside Kailash Nagar Society in Garib Nawaz Nagar. || Open Hours: 24/7 Available || Phone: 9876543222,2026-06-23 12:53:32.054Z,2026-06-23 12:53:32.054Z
dj628kic2zsbnwh,SMC Charging Station Adajan,"5QWQ+85W, Adajan Rd, TGB, Adajan Gam, Adajan, Surat, Gujarat 395009",21.195836,72.787781,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located along Adajan Road near TGB. || Open Hours: 24/7 Available || Phone: 6359905008,2026-06-23 12:53:32.214Z,2026-06-23 12:53:32.214Z
eedffjkcy4989ak,SMC Charging Station Athwa,"5Q7J+F94 ratri market, SVNIT Campus, Athwa, Surat, Gujarat 395007",21.16363,72.780715,Available,Level 2,Type 2,Type 2,SMC,11,15,Located right by the SVNIT Campus Ratri Market. || Open Hours: 08:00AM - 11:00 PM || Phone: 6359905008,2026-06-23 12:53:32.384Z,2026-06-23 12:53:32.384Z
fmxco02s3doh314,SMC Charging Station Adajan,"5QPM+3QQ, Sanjeev Kumar Auditorium Rd, Adajan Gam, Adajan, Surat, Gujarat 394510",21.18522,72.784488,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located on Sanjeev Kumar Auditorium Road. || Open Hours: 24/7 Available || Phone: 9876543223,2026-06-23 12:53:32.552Z,2026-06-23 12:53:32.552Z
7v9874rpevqpd37,SMC Charging Station Singanpor,"Katargam, near Causeway Road, opp. Premanand Garden (SMC), Industrial Area, Singanpor, Surat, Gujarat 395004",21.22037,72.807287,Available,DC Fast,Type 2,Type 2,SMC,50,18,Positioned opposite Premanand Garden in the Industrial Area. || Open Hours: 24/7 Available || Phone: 9876543224,2026-06-23 12:53:32.728Z,2026-06-23 12:53:32.728Z
6ns0h8aq1pelwui,SMC Charging Station Moti,"Pillar No. 35, Pay & Use Toilet, Central Zone, Ring Rd, Millennium Market, Moti Begumwadi, Surat, Gujarat 395002",21.188819,72.840632,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located under the flyover bridge near Millennium Market. || Open Hours: 24/7 Available || Phone: 9876543225,2026-06-23 12:53:32.928Z,2026-06-23 12:53:32.928Z
y014i6j7clbe6vr,SMC Charging Station Adajan,"At divya shoes Honey Park Rd, Jogani Nagar, Palanpur Patia, Jyotindra Dave Udhyan, Adajan, Surat, Gujarat 395009",21.202936,72.791407,Available,DC Fast,Type 2,Type 2,SMC,50,18,Placed opposite Jogani Nagar near Jyotindra Dave Udhyan. || Open Hours: 24/7 Available || Phone: 6359905008,2026-06-23 12:53:33.231Z,2026-06-23 12:53:33.231Z
popjsp1lrgwu3hn,SMC Charging Station Adajan,"Star bazar bridge, Hazira Rd, Jalaram Society, Adajan Gam, Adajan, Surat, Gujarat 395009",21.185082,72.792844,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located under the Star Bazar Bridge near Jalaram Society. || Open Hours: 24/7 Available || Phone: 6359905008,2026-06-23 12:53:33.396Z,2026-06-23 12:53:33.396Z
fzpmcu4yarmbn1f,SMC Charging Station Anjana,"34, Jay Prakash Narayan Marg, Anjana, narayan 2, New Textile Market, Surat, Gujarat 395002",21.185072,72.836331,Available,DC Fast,Type 2,Type 2,SMC,50,18,Setup nicely on Jay Prakash Narayan Marg inside Anjana. || Open Hours: 24/7 Available || Phone: 9876543226,2026-06-23 12:53:33.555Z,2026-06-23 12:53:33.555Z
73ura2grd9i79zx,SMC Charging Station Begampura,"Shop No 4912, Delhi Gate, Ring Rd, opp. Linear Bus Stand, Japan Market, Begampura, Surat, Gujarat 395003",21.202167,72.839487,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located opposite Linear Bus Stand at Delhi Gate. || Open Hours: 24/7 Available || Phone: 9876543227,2026-06-23 12:53:33.716Z,2026-06-23 12:53:33.716Z
ydkd74aprjegsul,SMC Charging Station Adajan,"6Q3Q+263, Honey Park Rd, Adajan Gam, Adajan, Surat, Gujarat 395009",21.202524,72.788041,Available,DC Fast,Type 2,Type 2,SMC,50,18,Planted neatly along Honey Park Road in Adajan Gam. || Open Hours: 24/7 Available || Phone: 9876543228,2026-06-23 12:53:33.906Z,2026-06-23 12:53:33.906Z
tk670ymmng4w33n,SMC Charging Station Varachha,"6R4P+3Q3, Unapani Rd, Lal Darwaja, Varachha, Surat, Gujarat 395003",21.20514,72.836912,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located on Unapani Road at Lal Darwaja in Varachha. || Open Hours: 24/7 Available || Phone: 9876543229,2026-06-23 12:53:34.224Z,2026-06-23 12:53:34.224Z
d5wwyc1pxewhse1,SMC Charging Station Piplod,"5Q39+CG5, Piplod, Rundh, Gujarat 395007",21.153555,72.768991,Available,DC Fast,Type 2,Type 2,SMC,50,18,Established standard civic station around Piplod. || Open Hours: 24/7 Available || Phone: 9876543230,2026-06-23 12:53:34.397Z,2026-06-23 12:53:34.397Z
i5vkpp2k6qwrvlh,SMC Charging Station Vesu,"4QRJ+JPP, near Vesu, Vesu, Surat, Gujarat 395007",21.141586,72.781815,Available,Level 2,Type 2,Type 2,SMC,11,15,Standard charging point situated near Vesu. || Open Hours: 07:00 AM - 11:00 PM || Phone: 9876543231,2026-06-23 12:53:34.594Z,2026-06-23 12:53:34.594Z
vpritc9uiz0e99d,SMC Charging Station Bhestan,"Sairaj Residency, Bhestan-Jiav Rd, Bhestan, Surat, Gujarat 395023",21.125232,72.851644,Available,DC Fast,Type 2,Type 2,SMC,50,18,Positioned at Sairaj Residency along Bhestan-Jiav Road. || Open Hours: 24/7 Available || Phone: 9876543232,2026-06-23 12:53:34.781Z,2026-06-23 12:53:34.781Z
g8tyihqkthfqyhx,SMC Charging Station Pandesara,"G11,12, Anaya Business hub, D-mart, beside pandesara, Gopal Nagar Society, Pandesara, Surat, Gujarat 394210",21.148916,72.816161,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located inside Anaya Business Hub next to D-Mart. || Open Hours: 24/7 Available || Phone: 9876543233,2026-06-23 12:53:34.971Z,2026-06-23 12:53:34.971Z
7g2lxblg2rc0ncu,SMC Charging Station Haripura,"Open Plot, 81, Unapani Rd, near School, Lal Darwaja, Haripura, Surat, Gujarat 395003",21.205677,72.835878,Available,DC Fast,Type 2,Type 2,SMC,50,18,Set up in an open plot near the school at Lal Darwaja. || Open Hours: 24/7 Available || Phone: 9876543234,2026-06-23 12:53:35.148Z,2026-06-23 12:53:35.148Z
rld49kq35ghjkzg,SMC Charging Station Pandesara,"Pandesara GIDC Main Road, 4RX8+HF6, GIDC, Trupte Nagar, Gopal Nagar Society, Pandesara, Surat, Gujarat 394210",21.148914,72.816148,Available,DC Fast,Type 2,Type 2,SMC,50,18,Fast layout positioned right along Pandesara GIDC Main Road. || Open Hours: 24/7 Available || Phone: 9876543235,2026-06-23 12:53:35.352Z,2026-06-23 12:53:35.352Z
vkbmg2e0qu8rstb,SMC Charging Station Surat,"321, Kailash Nagar, Hari Darshan Society, Vishal Nagar, Surat, Gujarat 395004",21.234597,72.836533,Available,DC Fast,Type 2,Type 2,SMC,50,18,Located inside Hari Darshan Society at Vishal Nagar. || Open Hours: 24/7 Available || Phone: 9876543236,2026-06-23 12:53:35.578Z,2026-06-23 12:53:35.578Z
